code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
6857.T,2024-01-12,2024-02-02,5201.810381850999,5925.148463596831,1205,po_break,864918.3957993452,13.905506518837019,14,6857.T:2024-01-12,0.1
4063.T,2024-01-31,2024-02-02,5542.96968624335,5624.283290693804,2295,po_break,173800.29942275555,1.4669682327915101,1,4063.T:2024-01-31,0.1
6861.T,2024-01-29,2024-02-08,65143.818507128984,63727.32100537673,195,po_break,-288781.9489441585,-2.174415829795484,7,6861.T:2024-01-29,0.1
8035.T,2024-02-08,2024-02-14,27310.029430319184,31405.514893400614,233,rsi_half,947407.7519842598,14.996268947753988,2,8035.T:2024-02-08,0.1
4063.T,2024-02-06,2024-03-01,5562.056979662024,6124.325433713743,2293,max_holding_days,1275883.1277036571,10.109002049200244,15,4063.T:2024-02-06,0.1
8035.T,2024-02-08,2024-03-05,27310.029430319184,36942.07922356226,233,max_holding_days,2236782.231167459,35.269276504512725,15,8035.T:2024-02-08,0.1
6861.T,2024-02-20,2024-03-14,67692.10793507386,67949.63335204971,193,po_break,36612.97744213268,0.38043639773022164,15,6861.T:2024-02-20,0.1
5802.T,2024-03-06,2024-03-18,2041.5207811852697,2107.8094776842117,6571,po_break,421950.4001290325,3.2470253112219627,7,5802.T:2024-03-06,0.1
4063.T,2024-03-21,2024-04-02,6532.648857146381,6140.778137761112,2057,po_break,-819112.6894397603,-5.9986496741912365,7,4063.T:2024-03-21,0.1
5802.T,2024-03-15,2024-04-04,2058.571857261592,2176.40486485352,6485,po_break,750415.1422121947,5.724017219815436,12,5802.T:2024-03-15,0.1
8035.T,2024-03-29,2024-04-08,37534.253878774,36283.88216337377,357,po_break,-459559.23968140536,-3.3312816592507954,5,8035.T:2024-03-29,0.1
8035.T,2024-04-05,2024-04-09,36863.99677862767,36216.99011631588,360,po_break,-246076.9760733339,-1.7551180524378207,1,8035.T:2024-04-05,0.1
7011.T,2024-04-15,2024-04-17,1342.5652177942861,1344.3078446831735,9877,stop_sma20_break,3942.8031624953564,0.12979830445409846,1,7011.T:2024-04-15,0.1
8035.T,2024-04-16,2024-04-18,36682.07478493843,35213.61615883467,361,po_break,-543090.7362388065,-4.00320492969144,1,8035.T:2024-04-16,0.1
7011.T,2024-04-16,2024-04-23,1379.5165097095926,1354.1419319612403,9593,po_break,-256530.31705541772,-1.839381955181818,4,7011.T:2024-04-16,0.1
5802.T,2024-04-19,2024-04-23,2291.919696867853,2276.05889250894,5736,po_break,-104078.53639705703,-0.6920314171822151,1,5802.T:2024-04-19,0.1
7011.T,2024-05-02,2024-05-09,1369.6627489474404,1278.4201938795006,9601,stop_sma20_break,-888731.8933743302,-6.66168041279197,2,7011.T:2024-05-02,0.1
5802.T,2024-05-02,2024-05-14,2266.9562285712104,2240.333651966966,5803,stop_sma20_break,-167568.71362281172,-1.1743754144306395,5,5802.T:2024-05-02,0.1
6861.T,2024-05-24,2024-05-28,70463.0774830252,70312.44827325767,184,po_break,-40667.12296680397,-0.21377041018939558,1,6861.T:2024-05-24,0.1
5802.T,2024-05-30,2024-06-11,2367.28086605028,2537.4154084075726,5501,po_break,922419.7504045698,7.186918324615865,7,5802.T:2024-05-30,0.1
